city,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
cairo,20100522:1500,5,15,260.0,29.13,6.07,31.289725191891193,28.9322330057621,2.357492186129093,81.32799999999999,0.025414999999999997
cairo,20100522:1600,5,16,64.0,26.9,5.93,26.119279097765684,25.46412691473961,0.6551521830260754,20.019199999999998,0.006255999999999999
cairo,20100522:1700,5,17,0.0,24.41,5.86,22.66319053247571,22.58159751072526,0.08159302175045013,0.0,0.0
cairo,20100522:1800,5,18,0.0,22.38,5.66,20.62349747866392,20.541540570557117,0.0819569081068039,0.0,0.0
cairo,20100522:1900,5,19,0.0,20.93,5.52,19.166580997407436,19.084365088492632,0.08221590891480446,0.0,0.0
cairo,20100522:2000,5,20,0.0,19.67,4.83,17.767590563744307,17.680203020572662,0.08738754317164421,0.0,0.0
cairo,20100522:2100,5,21,0.0,18.72,4.21,16.665164045989513,16.572318095713854,0.09284595027565956,0.0,0.0
cairo,20100522:2200,5,22,0.0,17.97,3.66,15.752804279327393,15.654388554394245,0.09841572493314743,0.0,0.0
cairo,20100522:2300,5,23,0.0,17.34,3.03,14.893128909170628,14.787261504679918,0.1058674044907093,0.0,0.0
cairo,20100523:0000,5,0,0.0,16.6,2.14,13.721756599843502,13.603236880153418,0.11851971969008446,0.0,0.0
cairo,20100523:0100,5,1,0.0,15.54,1.66,12.371159195899963,12.245099060237408,0.1260601356625557,0.0,0.0
cairo,20100523:0200,5,2,0.0,14.95,1.66,11.795652136206627,11.66995320469141,0.12569893151521683,0.0,0.0
cairo,20100523:0300,5,3,2.0,14.69,1.59,11.554135866463184,11.390279717743397,0.1638561487197876,0.6255999999999999,0.00019549999999999998
cairo,20100523:0400,5,4,157.0,16.71,0.83,18.75642854720354,15.13553500175476,3.62089354544878,49.10959999999999,0.015346749999999996
cairo,20100523:0500,5,5,370.0,19.05,0.48,29.86221209168434,20.915650390088558,8.946561701595783,115.73599999999999,0.0361675
cairo,20100523:0600,5,6,595.0,20.59,2.21,33.61510954797268,24.31137528270483,9.303734265267849,186.11599999999999,0.05816125
cairo,20100523:0700,5,7,771.0,22.59,2.97,37.847435381263494,27.478498965501785,10.36893641576171,241.1688,0.07536525000000001
cairo,20100523:0800,5,8,906.0,24.36,4.14,39.5967835560441,29.482455272227526,10.114328283816576,283.3968,0.0885615
cairo,20100523:0900,5,9,962.0,25.79,4.97,40.33500570803881,30.74224654585123,9.592759162187576,300.9136000000001,0.09403550000000002
cairo,20100523:1000,5,10,1008.0,26.9,4.97,42.17012109234929,32.15126436203718,10.018856730312109,315.30240000000003,0.09853200000000001
cairo,20100523:1100,5,11,766.0,27.71,4.9,38.95195038989186,31.219038143754005,7.732912246137857,239.60479999999998,0.0748765
cairo,20100523:1200,5,12,827.0,28.2,4.83,40.57211069390178,32.17510478571057,8.397005908191204,258.6856,0.08083925
cairo,20100523:1300,5,13,442.0,28.37,4.9,34.02144655585289,29.49335677549243,4.52808978036046,138.25759999999997,0.04320549999999999
cairo,20100523:1400,5,14,207.0,28.12,5.03,29.679975043982267,27.534520141780376,2.145454902201891,64.74959999999999,0.020234249999999995
cairo,20100523:1500,5,15,206.0,27.42,5.03,28.978852536529303,26.84132121503353,2.1375313214957714,64.4368,0.0201365
cairo,20100523:1600,5,16,32.0,26.24,4.97,24.819754865020514,24.40736148506403,0.41239337995648384,10.009599999999999,0.0031279999999999997
cairo,20100523:1700,5,17,0.0,24.6,4.48,22.51957729458809,22.425818499177694,0.09375879541039467,0.0,0.0
cairo,20100523:1800,5,18,0.0,23.07,4.55,21.035976465791464,20.943850129842758,0.09212633594870567,0.0,0.0
cairo,20100523:1900,5,19,0.0,21.72,4.62,19.728381745517254,19.637764990329742,0.09061675518751144,0.0,0.0
cairo,20100523:2000,5,20,0.0,20.42,3.93,18.247640375047922,18.150730151683092,0.09691022336483002,0.0,0.0
cairo,20100523:2100,5,21,0.0,19.39,3.31,17.01623799279332,16.912681255489588,0.10355673730373383,0.0,0.0
cairo,20100523:2200,5,22,0.0,18.51,2.69,15.88430656120181,15.772975664585829,0.11133089661598206,0.0,0.0
cairo,20100523:2300,5,23,0.0,17.71,2.21,14.847466424107552,14.729371443390846,0.11809498071670532,0.0,0.0
cairo,20100524:0000,5,0,0.0,16.79,2.0,13.821645975112915,13.70070131495595,0.12094466015696526,0.0,0.0
