location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
name,43.913723,4.801025,20160105:1100,1,11,230.0,9.58,1.52,13.93587812781334,9.482915960252285,4.452962167561054,71.944,0.0224825
name,43.913723,4.801025,20160105:1200,1,12,216.0,10.42,1.79,14.055505208671093,10.122047252953053,3.9334579557180405,67.5648,0.021114
name,43.913723,4.801025,20160105:1300,1,13,184.0,10.57,2.41,12.907948568463326,9.943526796996593,2.964421771466732,57.555200000000006,0.017986000000000002
name,43.913723,4.801025,20160105:1400,1,14,119.0,10.31,2.9,10.866440497338772,9.075625762343407,1.7908147349953651,37.223200000000006,0.01163225
name,43.913723,4.801025,20160105:1500,1,15,109.0,9.79,2.14,10.167310312390327,8.256822675466537,1.91048763692379,34.095200000000006,0.010654750000000001
name,43.913723,4.801025,20160105:1600,1,16,0.0,9.09,1.93,6.257870756089687,6.140658892691135,0.11721186339855194,0.0,0.0
name,43.913723,4.801025,20160105:1700,1,17,0.0,8.4,1.59,5.355659127235413,5.232776068150997,0.12288305908441544,0.0,0.0
name,43.913723,4.801025,20160105:1800,1,18,0.0,7.26,1.38,4.08400796353817,3.9578213170170784,0.12618664652109146,0.0,0.0
name,43.913723,4.801025,20160105:1900,1,19,0.0,6.16,2.07,3.479253090918064,3.3663607016205788,0.11289238929748535,0.0,0.0
name,43.913723,4.801025,20160105:2000,1,20,0.0,5.25,1.93,2.5071150436997414,2.392434738576412,0.11468030512332916,0.0,0.0
name,43.913723,4.801025,20160105:2100,1,21,0.0,4.83,1.79,2.008940652012825,1.8920589238405228,0.11688172817230225,0.0,0.0
name,43.913723,4.801025,20160105:2200,1,22,0.0,4.62,1.59,1.668187901377678,1.5477490052580833,0.12043889611959457,0.0,0.0
name,43.913723,4.801025,20160105:2300,1,23,0.0,4.56,1.38,1.4523053914308548,1.3278322294354439,0.12447316199541092,0.0,0.0
name,43.913723,4.801025,20160106:0000,1,0,0.0,4.23,1.38,1.1306329816579819,1.0063717141747475,0.1242612674832344,0.0,0.0
name,43.913723,4.801025,20160106:0100,1,1,0.0,3.18,1.52,0.21301284432411194,0.0921795517206192,0.12083329260349274,0.0,0.0
name,43.913723,4.801025,20160106:0200,1,2,0.0,3.18,1.45,0.16098905354738235,0.03879174590110779,0.12219730764627457,0.0,0.0
name,43.913723,4.801025,20160106:0300,1,3,0.0,4.61,0.97,1.139455996453762,1.006460003554821,0.13299599289894104,0.0,0.0
name,43.913723,4.801025,20160106:0400,1,4,0.0,4.6,0.69,0.8299456164240837,0.690823569893837,0.13912204653024673,0.0,0.0
name,43.913723,4.801025,20160106:0500,1,5,0.0,4.6,0.83,0.9860802441835403,0.8500496670603752,0.13603057712316513,0.0,0.0
name,43.913723,4.801025,20160106:0600,1,6,0.0,4.44,1.03,1.0321136564016342,0.9005040302872658,0.13160962611436844,0.0,0.0
name,43.913723,4.801025,20160106:0700,1,7,0.0,3.02,1.45,0.004971437156200409,-0.1171213760972023,0.12209281325340271,0.0,0.0
name,43.913723,4.801025,20160106:0800,1,8,32.0,2.66,1.66,0.8396072685718536,0.12102983891963959,0.718577429652214,10.0096,0.003128
name,43.913723,4.801025,20160106:0900,1,9,40.0,4.05,1.86,2.522013373672962,1.693311259150505,0.8287021145224571,12.512,0.00391
name,43.913723,4.801025,20160106:1000,1,10,180.0,5.49,2.0,8.101246729493141,4.9102238938212395,3.1910228356719017,56.304,0.017595
name,43.913723,4.801025,20160106:1100,1,11,98.0,6.91,1.72,7.074923925101757,5.168731287121773,1.9061926379799843,30.654400000000003,0.0095795
name,43.913723,4.801025,20160106:1200,1,12,404.0,8.15,1.86,17.409282363951206,10.305552706122398,7.103729657828808,126.37120000000002,0.039491
name,43.913723,4.801025,20160106:1300,1,13,356.0,9.28,2.28,16.41193188726902,10.662500411272049,5.749431475996971,111.3568,0.034799
name,43.913723,4.801025,20160106:1400,1,14,251.0,9.85,2.41,13.996214643120766,9.998547174036503,3.997667469084263,78.5128,0.024535249999999998
name,43.913723,4.801025,20160106:1500,1,15,127.0,9.72,1.59,10.724009051918983,8.234885558485985,2.4891234934329987,39.7256,0.01241425
name,43.913723,4.801025,20160106:1600,1,16,0.0,8.96,1.03,5.430922135710716,5.296634212136269,0.13428792357444763,0.0,0.0
name,43.913723,4.801025,20160106:1700,1,17,0.0,7.6,0.69,3.744915947318077,3.6041805520653725,0.14073539525270462,0.0,0.0
name,43.913723,4.801025,20160106:1800,1,18,0.0,6.97,0.83,3.290449380874634,3.1530749052762985,0.13737447559833527,0.0,0.0
name,43.913723,4.801025,20160106:1900,1,19,0.0,6.12,0.76,2.3871003836393356,2.248682528734207,0.13841785490512848,0.0,0.0
