location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
wien,48.212614,16.412059,20170104:1700,1,17,0.0,2.02,7.86,0.8728977292776108,0.8159154839813709,0.05698224529623985,0.0,0.0
wien,48.212614,16.412059,20170104:1800,1,18,0.0,1.89,7.52,0.7057082653045654,0.6471006572246552,0.05860760807991028,0.0,0.0
wien,48.212614,16.412059,20170104:1900,1,19,0.0,2.26,7.45,1.0629992932081223,1.0038387589156628,0.05916053429245949,0.0,0.0
wien,48.212614,16.412059,20170104:2000,1,20,0.0,2.13,7.38,0.9261257760226727,0.8666673768311739,0.059458399191498756,0.0,0.0
wien,48.212614,16.412059,20170104:2100,1,21,0.0,1.73,7.1,0.49612115137279034,0.43536760844290257,0.06075354292988777,0.0,0.0
wien,48.212614,16.412059,20170104:2200,1,22,0.0,1.35,6.69,0.06619509309530258,0.003305841237306595,0.06288925185799599,0.0,0.0
wien,48.212614,16.412059,20170104:2300,1,23,0.0,1.04,6.07,-0.33204996958374977,-0.39865441620349884,0.06660444661974907,0.0,0.0
wien,48.212614,16.412059,20170105:0000,1,0,0.0,0.55,5.66,-0.8837792463600636,-0.9529364295303822,0.0691571831703186,0.0,0.0
wien,48.212614,16.412059,20170105:0100,1,1,0.0,0.32,5.31,-1.1744297854602337,-1.246059127151966,0.0716293416917324,0.0,0.0
wien,48.212614,16.412059,20170105:0200,1,2,0.0,-0.09,5.03,-1.6336357593536377,-1.7072437889873981,0.07360802963376045,0.0,0.0
wien,48.212614,16.412059,20170105:0300,1,3,0.0,-0.45,4.69,-2.0607947558164597,-2.1370656602084637,0.07627090439200401,0.0,0.0
wien,48.212614,16.412059,20170105:0400,1,4,0.0,-0.79,4.41,-2.4604307115077972,-2.5390291586518288,0.07859844714403152,0.0,0.0
wien,48.212614,16.412059,20170105:0500,1,5,0.0,-0.92,4.34,-2.6053841039538383,-2.6845606230199337,0.07917651906609535,0.0,0.0
wien,48.212614,16.412059,20170105:0600,1,6,0.0,-1.4,4.41,-3.0606169439852238,-3.138833064585924,0.07821612060070038,0.0,0.0
wien,48.212614,16.412059,20170105:0700,1,7,9.0,-1.18,4.83,-2.5821494683623314,-2.7531731501221657,0.1710236817598343,2.8152000000000004,0.00087975
wien,48.212614,16.412059,20170105:0800,1,8,100.0,-1.13,5.1,-0.8592491038143635,-1.9627994671463966,1.1035503633320332,31.28,0.009775
wien,48.212614,16.412059,20170105:0900,1,9,149.0,-0.62,5.86,0.41145317256450653,-1.0500827990472317,1.4615359716117382,46.607200000000006,0.014564750000000001
wien,48.212614,16.412059,20170105:1000,1,10,159.0,-0.28,6.48,0.8258851431310177,-0.6219335086643696,1.4478186517953873,49.735200000000006,0.01554225
wien,48.212614,16.412059,20170105:1100,1,11,220.0,-0.51,7.1,1.3878229074180126,-0.46301452443003654,1.8508374318480492,68.816,0.021505
wien,48.212614,16.412059,20170105:1200,1,12,66.0,-0.71,7.17,-0.9793911688029766,-1.5730449929833412,0.5936538241803646,20.6448,0.0064515
wien,48.212614,16.412059,20170105:1300,1,13,152.0,-1.2,6.97,-0.2373911812901497,-1.55388955026865,1.3164983689785004,47.5456,0.014857999999999998
wien,48.212614,16.412059,20170105:1400,1,14,88.0,-1.68,6.83,-1.626011859625578,-2.425865978002548,0.7998541183769703,27.526400000000002,0.008602
wien,48.212614,16.412059,20170105:1500,1,15,0.0,-2.39,6.14,-3.7052809074521065,-3.7694979086518288,0.06421700119972229,0.0,0.0
wien,48.212614,16.412059,20170105:1600,1,16,0.0,-3.05,5.66,-4.433522056788206,-4.500596281141043,0.06707422435283661,0.0,0.0
wien,48.212614,16.412059,20170105:1700,1,17,0.0,-3.43,5.52,-4.832369890064001,-4.90022474899888,0.0678548589348793,0.0,0.0
wien,48.212614,16.412059,20170105:1800,1,18,0.0,-3.78,5.45,-5.189799051731825,-5.257960297167301,0.0681612454354763,0.0,0.0
wien,48.212614,16.412059,20170105:1900,1,19,0.0,-4.09,5.72,-5.449146702885628,-5.515203308314085,0.06605660542845726,0.0,0.0
wien,48.212614,16.412059,20170105:2000,1,20,0.0,-4.38,5.79,-5.72370583191514,-5.789115522056818,0.06540969014167786,0.0,0.0
wien,48.212614,16.412059,20170105:2100,1,21,0.0,-4.69,5.79,-6.029505375772715,-6.0947382636368275,0.06523288786411285,0.0,0.0
wien,48.212614,16.412059,20170105:2200,1,22,0.0,-5.09,5.72,-6.435499954968691,-6.500983517616987,0.06548356264829636,0.0,0.0
wien,48.212614,16.412059,20170105:2300,1,23,0.0,-5.33,5.72,-6.6722348518669605,-6.737581063061953,0.06534621119499207,0.0,0.0
wien,48.212614,16.412059,20170106:0000,1,0,0.0,-5.59,5.66,-6.9385905005037785,-7.004202697426081,0.06561219692230225,0.0,0.0
wien,48.212614,16.412059,20170106:0100,1,1,0.0,-5.62,5.79,-6.946943178772926,-7.011646218597889,0.06470303982496262,0.0,0.0
wien,48.212614,16.412059,20170106:0200,1,2,0.0,-5.73,6.0,-7.022566329687834,-7.085816115140915,0.06324978545308113,0.0,0.0
wien,48.212614,16.412059,20170106:0300,1,3,0.0,-5.8,6.07,-7.081045974045992,-7.143806088715792,0.0627601146697998,0.0,0.0
wien,48.212614,16.412059,20170106:0400,1,4,0.0,-5.93,6.14,-7.1989332512021065,-7.2611769288778305,0.06224367767572403,0.0,0.0
wien,48.212614,16.412059,20170106:0500,1,5,0.0,-6.08,6.34,-7.318187840282917,-7.379114665091038,0.06092682480812073,0.0,0.0
wien,48.212614,16.412059,20170106:0600,1,6,0.0,-6.19,6.48,-7.407417502254248,-7.46744941920042,0.060031916946172714,0.0,0.0
wien,48.212614,16.412059,20170106:0700,1,7,28.0,-6.42,6.76,-7.184527609497309,-7.481341194361448,0.29681358486413956,8.7584,0.002737
wien,48.212614,16.412059,20170106:0800,1,8,140.0,-5.88,8.76,-5.15816449187696,-6.18504136800766,1.0268768761307001,43.792,0.013685000000000001
wien,48.212614,16.412059,20170106:0900,1,9,218.0,-5.14,8.62,-3.463649023324251,-5.053310934454203,1.5896619111299515,68.19040000000001,0.021309500000000002
wien,48.212614,16.412059,20170106:1000,1,10,281.0,-4.44,8.69,-2.0183924678713083,-4.038204848766327,2.0198123808950186,87.89680000000001,0.027467750000000003
wien,48.212614,16.412059,20170106:1100,1,11,151.0,-4.27,8.21,-3.3915958926081657,-4.550934247672558,1.159338355064392,47.232800000000005,0.01476025
wien,48.212614,16.412059,20170106:1200,1,12,40.0,-4.01,8.28,-4.54138346016407,-4.885030258446932,0.3436467982828617,12.512,0.00391
wien,48.212614,16.412059,20170106:1300,1,13,104.0,-4.0,8.07,-3.718104548752308,-4.543877523392439,0.825772974640131,32.531200000000005,0.010166
wien,48.212614,16.412059,20170106:1400,1,14,32.0,-4.24,7.72,-4.904414862394333,-5.2051072008907795,0.3006923384964466,10.0096,0.003128
wien,48.212614,16.412059,20170106:1500,1,15,0.0,-4.81,6.69,-6.016460340470076,-6.076020579785109,0.05956023931503296,0.0,0.0
wien,48.212614,16.412059,20170106:1600,1,16,0.0,-5.45,6.21,-6.714879292994738,-6.776950694620609,0.06207140162587166,0.0,0.0
