location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
Toulouse,43.601552,1.428401,20210522:1600,5,16,169.0,15.23,5.24,18.122848719358444,15.259333150461316,2.863515568897128,0.0,0.0
Toulouse,43.601552,1.428401,20210522:1700,5,17,65.0,14.61,4.83,14.624907057732344,13.405646216124296,1.2192608416080475,0.0,0.0
Toulouse,43.601552,1.428401,20210522:1800,5,18,88.0,14.08,3.79,14.892895109951496,13.018093928694725,1.874801181256771,0.0,0.0
Toulouse,43.601552,1.428401,20210522:1900,5,19,0.0,13.35,3.17,10.94468042254448,10.840140469372272,0.10453995317220688,0.0,0.0
Toulouse,43.601552,1.428401,20210522:2000,5,20,0.0,12.47,2.69,9.87079668790102,9.76028235629201,0.1105143316090107,0.0,0.0
Toulouse,43.601552,1.428401,20210522:2100,5,21,0.0,11.98,2.55,9.322543255984783,9.21030412428081,0.11223913170397282,0.0,0.0
Toulouse,43.601552,1.428401,20210522:2200,5,22,0.0,11.36,2.48,8.680520728230476,8.567640036344528,0.11288069188594818,0.0,0.0
Toulouse,43.601552,1.428401,20210522:2300,5,23,0.0,10.97,2.41,8.262596651911736,8.14890705049038,0.1136896014213562,0.0,0.0
Toulouse,43.601552,1.428401,20210523:0000,5,0,0.0,10.71,2.34,7.97086670063436,7.856266098096967,0.11460060253739357,0.0,0.0
Toulouse,43.601552,1.428401,20210523:0100,5,1,0.0,10.44,2.14,7.59380292147398,7.476194854825735,0.11760806664824486,0.0,0.0
Toulouse,43.601552,1.428401,20210523:0200,5,2,0.0,9.9,1.86,6.891652559861541,6.769694127142429,0.12195843271911144,0.0,0.0
Toulouse,43.601552,1.428401,20210523:0300,5,3,0.0,9.68,1.52,6.433623246848583,6.3057173602283,0.12790588662028313,0.0,0.0
Toulouse,43.601552,1.428401,20210523:0400,5,4,0.0,9.07,1.45,5.784214595332742,5.6553782150149345,0.1288363803178072,0.0,0.0
Toulouse,43.601552,1.428401,20210523:0500,5,5,13.0,8.51,1.31,5.8552756160497665,5.288999564945698,0.5662760511040688,0.0,0.0
Toulouse,43.601552,1.428401,20210523:0600,5,6,163.0,9.8,1.1,15.703352317214012,9.942085817456245,5.761266499757767,0.0,0.0
Toulouse,43.601552,1.428401,20210523:0700,5,7,374.0,11.02,1.45,27.275038175284863,15.641301367431879,11.633736807852983,3.9300458103418348,0.0012281393157318231
Toulouse,43.601552,1.428401,20210523:0800,5,8,404.0,12.39,1.86,28.54821288958192,17.12973702698946,11.418475862592459,5.457855467498303,0.0017055798335932194
Toulouse,43.601552,1.428401,20210523:0900,5,9,550.0,13.35,1.59,37.41106033325195,21.303882598876953,16.107177734375,16.093272399902343,0.005029147624969482
Toulouse,43.601552,1.428401,20210523:1000,5,10,599.0,14.12,1.03,43.912273701280355,24.259763602167368,19.652510099112988,23.583012118935585,0.00736969128716737
Toulouse,43.601552,1.428401,20210523:1100,5,11,739.0,15.11,0.83,53.78077628090978,29.03083512559533,24.749941155314445,29.69992938637733,0.009281227933242915
Toulouse,43.601552,1.428401,20210523:1200,5,12,613.0,15.96,0.48,50.6480866111815,27.89133271202445,22.756753899157047,27.308104678988457,0.008533782712183892
Toulouse,43.601552,1.428401,20210523:1300,5,13,696.0,16.54,0.28,58.06518115103245,31.398956775665283,26.666224375367165,31.999469250440594,0.009999834140762685
Toulouse,43.601552,1.428401,20210523:1400,5,14,534.0,17.06,0.83,44.31187266483903,25.93532335013151,18.376549314707518,22.05185917764902,0.006891205993015319
Toulouse,43.601552,1.428401,20210523:1500,5,15,333.0,17.43,1.1,32.25298583507538,21.158449817448854,11.094536017626524,9.903583002090453,0.0030948696881532667
Toulouse,43.601552,1.428401,20210523:1600,5,16,242.0,17.38,1.24,26.904765963554382,18.975493870675564,7.9292720928788185,3.4857191562652585,0.0010892872363328931
Toulouse,43.601552,1.428401,20210523:1700,5,17,102.0,17.14,1.31,19.073099549859762,15.647921413183212,3.42517813667655,0.0,0.0
Toulouse,43.601552,1.428401,20210523:1800,5,18,60.0,16.67,0.69,16.291301511228085,13.842780068516731,2.4485214427113533,0.0,0.0
Toulouse,43.601552,1.428401,20210523:1900,5,19,0.0,15.27,0.9,11.303436104208231,11.16065587848425,0.14278022572398186,0.0,0.0
Toulouse,43.601552,1.428401,20210523:2000,5,20,0.0,13.96,1.79,10.804794616997242,10.679080113768578,0.1257145032286644,0.0,0.0
Toulouse,43.601552,1.428401,20210523:2100,5,21,0.0,13.22,1.86,10.130956936627626,10.006903931498528,0.12405300512909889,0.0,0.0
Toulouse,43.601552,1.428401,20210523:2200,5,22,0.0,12.46,2.14,9.566635554656386,9.447725266218185,0.11891028843820095,0.0,0.0
Toulouse,43.601552,1.428401,20210523:2300,5,23,0.0,11.93,1.79,8.82474523037672,8.700289856642485,0.12445537373423576,0.0,0.0
Toulouse,43.601552,1.428401,20210524:0000,5,0,0.0,11.58,0.83,7.639906462281942,7.497615572065115,0.1422908902168274,0.0,0.0
Toulouse,43.601552,1.428401,20210524:0100,5,1,0.0,10.6,1.17,7.033177372068167,6.898081004619598,0.13509636744856834,0.0,0.0
