city,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
marseille,20170103:1700,1,17,0.0,7.8,4.9,6.0314982663840055,5.949122617021203,0.0823756493628025,0.0,0.0
marseille,20170103:1800,1,18,0.0,6.98,4.34,5.084446175023913,4.997345106676221,0.08710106834769249,0.0,0.0
marseille,20170103:1900,1,19,0.0,6.5,4.21,4.577017575502396,4.488917887210846,0.08809968829154968,0.0,0.0
marseille,20170103:2000,1,20,0.0,6.21,4.07,4.252145998179913,4.16278600692749,0.08935999125242233,0.0,0.0
marseille,20170103:2100,1,21,0.0,5.96,4.14,4.026769837364554,3.938299920409918,0.08846991695463657,0.0,0.0
marseille,20170103:2200,1,22,0.0,5.28,4.41,3.4324179496616125,3.3470884896814823,0.0853294599801302,0.0,0.0
marseille,20170103:2300,1,23,0.0,5.15,4.69,3.375177625566721,3.292570151388645,0.08260747417807579,0.0,0.0
marseille,20170104:0000,1,0,0.0,4.89,4.69,3.1194841116666794,3.0370400100946426,0.08244410157203674,0.0,0.0
marseille,20170104:0100,1,1,0.0,4.68,4.83,2.9461189173161983,2.865066546946764,0.08105237036943436,0.0,0.0
marseille,20170104:0200,1,2,0.0,4.47,4.83,2.7395370602607727,2.6586156617850065,0.08092139847576618,0.0,0.0
marseille,20170104:0300,1,3,0.0,4.2,4.97,2.505744406953454,2.426212653517723,0.07953175343573093,0.0,0.0
marseille,20170104:0400,1,4,0.0,4.03,5.24,2.39654409699142,2.319373618811369,0.07717047818005085,0.0,0.0
marseille,20170104:0500,1,5,0.0,3.94,5.86,2.4272172059863806,2.354839099571109,0.07237810641527176,0.0,0.0
marseille,20170104:0600,1,6,0.0,3.83,6.48,2.421737900003791,2.3536256700754166,0.06811222992837429,0.0,0.0
marseille,20170104:0700,1,7,0.0,3.9,7.03,2.571051334962249,2.506247367709875,0.0648039672523737,0.0,0.0
marseille,20170104:0800,1,8,105.0,4.33,8.34,5.292594218626618,3.9724828023463488,1.3201114162802696,0.0,0.0
marseille,20170104:0900,1,9,241.0,5.36,9.52,8.708417871966958,6.047412981279194,2.6610048906877637,0.0,0.0
marseille,20170104:1000,1,10,344.0,6.6,10.21,11.532560773193836,7.967106979340315,3.5654537938535213,0.0,0.0
marseille,20170104:1100,1,11,401.0,8.04,11.24,13.49877948872745,9.66343304142356,3.835346447303891,0.0,0.0
marseille,20170104:1200,1,12,408.0,9.26,11.79,14.601906300522387,10.85159236099571,3.750313939526677,0.0,0.0
marseille,20170104:1300,1,13,350.0,9.83,11.86,14.251776542514563,11.042775600217283,3.20900094229728,0.0,0.0
marseille,20170104:1400,1,14,246.0,10.25,11.86,13.07577088009566,10.804522731341422,2.271248148754239,0.0,0.0
marseille,20170104:1500,1,15,112.0,10.42,12.48,11.16034614853561,10.142180589027703,1.0181655595079064,0.0,0.0
marseille,20170104:1600,1,16,0.0,9.76,12.62,8.866753927432,8.821228807792068,0.04552511963993311,0.0,0.0
marseille,20170104:1700,1,17,0.0,9.01,12.83,8.135428028181195,8.090772414579988,0.04465561360120773,0.0,0.0
marseille,20170104:1800,1,18,0.0,8.21,13.45,7.375772106461227,7.3330061649903655,0.042765941470861435,0.0,0.0
marseille,20170104:1900,1,19,0.0,7.7,13.93,6.8940499518066645,6.852618143893778,0.04143180791288614,0.0,0.0
marseille,20170104:2000,1,20,0.0,7.3,14.48,6.523053434211761,6.48299824912101,0.040055185090750456,0.0,0.0
marseille,20170104:2100,1,21,0.0,6.93,14.55,6.159127003047615,6.1193613382056355,0.03976566484197974,0.0,0.0
marseille,20170104:2200,1,22,0.0,6.61,14.07,5.8196075819432735,5.778913721442223,0.04069386050105095,0.0,0.0
marseille,20170104:2300,1,23,0.0,6.71,14.55,5.940857958048582,5.90117494110018,0.03968301694840193,0.0,0.0
marseille,20170105:0000,1,0,0.0,6.75,14.55,5.980543419718742,5.940845375880599,0.03969804383814335,0.0,0.0
marseille,20170105:0100,1,1,0.0,6.64,14.28,5.859162919223309,5.818923027254641,0.04023989196866751,0.0,0.0
marseille,20170105:0200,1,2,0.0,6.7,13.93,5.902208210900426,5.861163353547454,0.04104485735297203,0.0,0.0
marseille,20170105:0300,1,3,0.0,6.58,13.66,5.770006035454571,5.728383734822273,0.04162230063229799,0.0,0.0
marseille,20170105:0400,1,4,0.0,6.35,13.31,5.524195684120059,5.481827515177429,0.04236816894263029,0.0,0.0
marseille,20170105:0500,1,5,0.0,6.11,13.45,5.293371574953198,5.251436252146959,0.04193532280623913,0.0,0.0
marseille,20170105:0600,1,6,0.0,5.78,13.72,4.979537068866193,4.93836629204452,0.041170776821672916,0.0,0.0
marseille,20170105:0700,1,7,0.0,5.54,13.93,4.751612595282495,4.711014600470662,0.040597994811832905,0.0,0.0
marseille,20170105:0800,1,8,110.0,5.4,13.79,6.101759113371372,5.178893664851785,0.9228654485195875,0.0,0.0
marseille,20170105:0900,1,9,246.0,5.99,14.34,8.450288567692041,6.504458701238036,1.9458298664540052,0.0,0.0
marseille,20170105:1000,1,10,346.0,6.84,15.38,10.386633761227131,7.825368661433458,2.5612650997936726,0.0,0.0
marseille,20170105:1100,1,11,404.0,7.57,15.79,11.730843679979444,8.814874307718128,2.9159693722613156,0.0,0.0
marseille,20170105:1200,1,12,411.0,8.06,15.72,12.31608787085861,9.339905800297856,2.9761820705607533,0.0,0.0
marseille,20170105:1300,1,13,363.0,8.27,15.03,12.08499058848247,9.34922638349235,2.7357642049901187,0.0,0.0
marseille,20170105:1400,1,14,250.0,8.31,14.76,10.738890687935054,8.811908306088299,1.9269823818467557,0.0,0.0
marseille,20170105:1500,1,15,121.0,7.96,14.07,8.773249024525285,7.779940320178866,0.9933087043464184,0.0,0.0
marseille,20170105:1600,1,16,0.0,7.39,14.48,6.612340458668768,6.572251259349287,0.04008919931948185,0.0,0.0
marseille,20170105:1700,1,17,0.0,6.8,14.28,6.017886186018586,5.9775854693725705,0.040300716646015644,0.0,0.0
marseille,20170105:1800,1,18,0.0,6.4,14.07,5.611300696618855,5.57068734895438,0.04061334766447544,0.0,0.0
marseille,20170105:1900,1,19,0.0,6.01,13.59,5.201233401894569,5.159669513814151,0.04156388808041811,0.0,0.0
marseille,20170105:2000,1,20,0.0,5.83,12.97,4.990688618272543,4.94768544100225,0.043003177270293236,0.0,0.0
marseille,20170105:2100,1,21,0.0,5.56,12.55,4.699871884658933,4.655893328599632,0.0439785560593009,0.0,0.0
marseille,20170105:2200,1,22,0.0,5.25,12.28,4.377076365053654,4.332500514574349,0.04457585047930479,0.0,0.0
marseille,20170105:2300,1,23,0.0,5.1,10.97,4.144552065990865,4.096162058413029,0.048390007577836514,0.0,0.0
marseille,20170106:0000,1,0,0.0,4.85,9.93,3.818125189282,3.7662636768072844,0.05186151247471571,0.0,0.0
marseille,20170106:0100,1,1,0.0,4.55,9.38,3.4741484373807907,3.4203159576281905,0.05383247975260019,0.0,0.0
marseille,20170106:0200,1,2,0.0,4.16,8.76,3.030021833255887,2.9737899731844664,0.05623186007142067,0.0,0.0
marseille,20170106:0300,1,3,0.0,3.73,8.28,2.555344682186842,2.49715443700552,0.0581902451813221,0.0,0.0
marseille,20170106:0400,1,4,0.0,3.73,7.72,2.4917603377252817,2.430816227570176,0.06094411015510559,0.0,0.0
marseille,20170106:0500,1,5,0.0,3.49,7.03,2.166385082527995,2.1018065186217427,0.06457856390625238,0.0,0.0
marseille,20170106:0600,1,6,0.0,3.23,6.48,1.829944821074605,1.7621732223778963,0.06777159869670868,0.0,0.0
marseille,20170106:0700,1,7,0.0,2.97,6.07,1.5075559727847576,1.4372208714485168,0.07033510133624077,0.0,0.0
marseille,20170106:0800,1,8,109.0,3.14,5.86,4.5098949037492275,2.7420803532004356,1.7678145505487919,0.0,0.0
marseille,20170106:0900,1,9,196.0,3.71,5.66,7.437618970870972,4.250752441585064,3.1868665292859077,0.0,0.0
marseille,20170106:1000,1,10,248.0,4.3,5.93,9.245605384930968,5.366749605163932,3.8788557797670364,0.0,0.0
marseille,20170106:1100,1,11,291.0,5.27,5.24,11.825009798631072,6.90510967746377,4.919900121167302,0.0,0.0
marseille,20170106:1200,1,12,302.0,6.13,4.48,13.685708520933986,8.056092765182257,5.629615755751729,0.0,0.0
marseille,20170106:1300,1,13,297.0,6.71,5.31,13.333651898428798,8.36832226254046,4.965329635888338,0.0,0.0
marseille,20170106:1400,1,14,236.0,7.08,5.72,11.76317241974175,7.98838023096323,3.7747921887785196,0.0,0.0
marseille,20170106:1500,1,15,109.0,7.05,6.21,8.29561167396605,6.603827644139528,1.6917840298265219,0.0,0.0
marseille,20170106:1600,1,16,0.0,6.55,6.48,5.104241380468011,5.03458141349256,0.06965996697545052,0.0,0.0
marseille,20170106:1700,1,17,0.0,5.62,6.97,4.260127721354365,4.1940235532820225,0.06610416807234287,0.0,0.0
marseille,20170106:1800,1,18,0.0,5.04,7.1,3.705822853371501,3.640796970576048,0.06502588279545307,0.0,0.0
marseille,20170106:1900,1,19,0.0,4.56,6.9,3.2042044773697853,3.138272613286972,0.06593186408281326,0.0,0.0
marseille,20170106:2000,1,20,0.0,4.15,6.76,2.779482607729733,2.712936564348638,0.06654604338109493,0.0,0.0
marseille,20170106:2100,1,21,0.0,3.87,6.55,2.4719386640936136,2.4042484257370234,0.06769023835659027,0.0,0.0
marseille,20170106:2200,1,22,0.0,2.88,7.38,1.610378036275506,1.5480907959863544,0.06228724028915167,0.0,0.0
marseille,20170106:2300,1,23,0.0,2.77,6.62,1.3973582163453102,1.3307260535657406,0.06663216277956963,0.0,0.0
marseille,20170107:0000,1,0,0.0,2.79,5.72,1.268773740157485,1.1960581643506885,0.07271557580679655,0.0,0.0
marseille,20170107:0100,1,1,0.0,2.64,5.17,1.0135586746037006,0.9366661123931408,0.07689256221055984,0.0,0.0
marseille,20170107:0200,1,2,0.0,2.62,5.03,0.9640583395957947,0.8860139548778534,0.07804438471794128,0.0,0.0
marseille,20170107:0300,1,3,0.0,2.91,4.97,1.2363316304981709,1.1575984209775925,0.07873320952057838,0.0,0.0
marseille,20170107:0400,1,4,0.0,2.95,4.62,1.1946396715939045,1.1127746757119894,0.08186499588191509,0.0,0.0
marseille,20170107:0500,1,5,0.0,3.25,4.55,1.472466653212905,1.3897619768977165,0.08270467631518841,0.0,0.0
